S=1,S=2,S=3,S=4,S=5,t
23.76640316,23.72146023,23.67413479,23.62437007,23.57207006,25.5
23.77625712,23.72996162,23.68134431,23.63034951,23.5768827,25.6
23.77669516,23.72898505,23.67901444,23.62672852,23.57203394,25.7
23.77636456,23.72729546,23.67602637,23.62250319,23.56663357,25.8
23.77542484,23.72505365,23.6725421,23.61783663,23.56084577,25.9
23.77075251,23.71909457,23.66535533,23.60948164,23.5513827,26
23.74992049,23.69684191,23.64174192,23.58456746,23.52522803,26.1
23.72749616,23.67305331,23.616648,23.55822709,23.49770024,26.2
23.70355122,23.64779968,23.59014355,23.53052953,23.4688673,26.3
23.68775848,23.63086013,23.57211295,23.51146346,23.44882146,26.4
23.67264431,23.61467025,23.55490173,23.49328508,23.42973011,26.5
23.6613199,23.60236389,23.54166605,23.47917246,23.41479295,26.6
23.65666836,23.59684821,23.53533677,23.47207993,23.40698758,26.7
23.65131396,23.59066634,23.52837673,23.46439076,23.39861833,26.8
23.64429125,23.58284231,23.51979954,23.45510824,23.38867825,26.9
23.63494322,23.57271412,23.50893829,23.44356061,23.37649075,27
23.62378134,23.56079451,23.49630687,23.43026284,23.36257186,27.1
23.6108681,23.54714621,23.48196825,23.41527813,23.34698501,27.2
23.59286191,23.52840146,23.46252879,23.39518722,23.32628546,27.3
23.5701819,23.50498026,23.43840928,23.37041154,23.30089526,27.4
23.54810613,23.48221281,23.41499165,23.34638455,23.2762992,27.5
23.52660616,23.46006784,23.39224187,23.32306945,23.25245776,27.6
23.5021055,23.43493493,23.36651581,23.29678857,23.22565984,27.7
23.47176599,23.40395452,23.33493265,23.26463998,23.19298246,27.8
23.43543212,23.3669698,23.29733424,23.22646413,23.15426464,27.9
23.40049247,23.33143221,23.26123456,23.18983735,23.11714499,28
23.36966541,23.30009185,23.22941548,23.15757333,23.08446918,28.1
23.33318578,23.2630791,23.19190311,23.119594,23.04605479,28.2
23.31049791,23.23999161,23.16844773,23.09580181,23.02195641,28.3
23.28300326,23.21209079,23.14017158,23.06718045,22.99301945,28.4
23.25034975,23.1790206,23.10671462,23.03336587,22.95887576,28.5
23.21120195,23.13943546,23.06672114,22.99299218,22.91814931,28.6
23.1673207,23.0951122,23.02198389,22.94786809,22.87266472,28.7
23.15018204,23.07774133,23.00440702,22.93011097,22.85475281,28.8
23.15815081,23.08565668,23.01229318,22.93799202,22.86265299,28.9
23.13895594,23.06625258,22.99270438,22.91824257,22.84276665,29
23.1355815,23.06278441,22.98916558,22.914656,22.83915514,29.1
23.12094883,23.04800059,22.97425328,22.89963751,22.82405254,29.2
23.1054359,23.03234266,22.95847222,22.8837548,22.80808945,29.3
23.06936381,22.99600474,22.92188984,22.84694865,22.77107965,29.4
23.03030011,22.95667467,22.88231397,22.80714686,22.7310712,29.5
22.98876988,22.91488285,22.84028035,22.76489054,22.68861068,29.6
22.94489578,22.8707527,22.79591321,22.72030476,22.64382398,29.7
22.90580592,22.83145575,22.75642744,22.68064789,22.6040132,29.8
22.87254707,22.79804258,22.72287754,22.64697834,22.57024071,29.9
22.82795372,22.75324081,22.67788425,22.60180981,22.52491267,30
22.77952852,22.7046001,22.62904423,22.55278605,22.47572013,30.1
22.71949962,22.64430565,22.56849974,22.49200628,22.41471905,30.2
22.68833854,22.61307149,22.5372076,22.46067089,22.38335497,30.3
22.63721312,22.56177482,22.48575417,22.40907466,22.33162933,30.4
22.59311192,22.51755877,22.44143726,22.36467041,22.28715093,30.5
22.54886228,22.47320473,22.39699224,22.3201474,22.24256257,30.6
22.5266827,22.45105258,22.37488044,22.29808879,22.22057001,30.7
22.50129014,22.42567718,22.34953467,22.27278497,22.19532046,30.8
22.47973636,22.4041666,22.32807929,22.2513967,22.17401128,30.9
22.44753233,22.3719557,22.29587305,22.21920646,22.14184826,31
22.41633366,22.34075937,22.26469013,22.1880478,22.11072468,31.1
22.36773069,22.2920709,22.2159266,22.13921926,22.06184083,31.2
22.32095438,22.24523035,22.16903188,22.09228012,22.01486668,31.3
22.27486174,22.19908834,22.12285024,22.04606826,21.96863376,31.4
22.2347771,22.1589924,22.08275238,22.00597766,21.92855947,31.5
22.1855645,22.10972815,22.03344541,21.95663657,21.8791926,31.6
22.13654854,22.06066974,21.98435313,21.90751871,21.83005718,31.7
22.07664933,22.00067702,21.92427493,21.84736266,21.76983049,31.8
22.00181311,21.92567484,21.84911415,21.77205007,21.6943722,31.9
21.93079004,21.85452249,21.77783974,21.70066031,21.62287328,32
21.87361324,21.797305,21.72058884,21.64338302,21.56557637,32.1
21.81563117,21.73928493,21.66253776,21.58530765,21.50748317,32.2
21.76697747,21.69064847,21.61392543,21.53672622,21.45893933,32.3
21.72470858,21.64843073,21.57176553,21.49463081,21.41691511,32.4
21.67091716,21.59464057,21.51798296,21.44086198,21.36316605,32.5
21.61048973,21.53419124,21.45751778,21.38038677,21.30268641,32.6
21.56123102,21.48497277,21.40834557,21.33126677,21.25362456,32.7
21.51973351,21.4435531,21.3670096,21.2900204,21.21247381,32.8
21.47770772,21.40160811,21.32515111,21.24825415,21.17080566,32.9
21.42996199,21.35391824,21.27752255,21.2006923,21.12331595,33
21.38327594,21.30729403,21.2309654,21.15420742,21.07690863,33.1
21.3309393,21.25499973,21.17871848,21.10201287,21.0247714,33.2
21.26539408,21.18944547,21.11315998,21.03645472,20.95921799,33.3
21.20316839,21.12723346,21.05096635,20.97428404,20.8970747,33.4
21.14402807,21.06812702,20.9918984,20.91525909,20.83809723,33.5
21.07614832,21.00024627,20.92402101,20.84738926,20.77023896,33.6
20.9999179,20.92398295,20.84772891,20.77107225,20.6939006,33.7
20.93509387,20.85918552,20.78296224,20.70634039,20.62920754,33.8
20.88290797,20.80708874,20.73095879,20.65443454,20.57740368,33.9
20.83364145,20.75792766,20.68190729,20.60549686,20.52858425,34
20.80260636,20.72706694,20.65122495,20.57499722,20.49827206,34.1
20.7856853,20.71036864,20.63475329,20.5587565,20.48226718,34.2
20.76856654,20.69346882,20.61807623,20.54230639,20.46604884,34.3
20.75227198,20.67739615,20.60222922,20.52668923,20.45066628,34.4
20.74298114,20.66834772,20.59342684,20.51813702,20.44236902,34.5
20.73135248,20.65695223,20.58226817,20.50721923,20.43169679,34.6
20.71149339,20.63729401,20.56281444,20.48797395,20.41266441,34.7
20.68692457,20.61290843,20.53861567,20.46396588,20.38885134,34.8
20.65671707,20.58285993,20.50872968,20.43424614,20.35930191,34.9
20.62070671,20.54698713,20.47299791,20.39865901,20.32386331,35
20.58761969,20.51405018,20.44021443,20.36603261,20.29139788,35.1
20.56722927,20.49385424,20.42021624,20.34623576,20.27180645,35.2
20.54167541,20.46847513,20.39501514,20.3212162,20.24697232,35.3
20.51333504,20.44030108,20.36701065,20.29338477,20.2193178,35.4
20.49603456,20.42319968,20.35011139,20.27669106,20.20283351,35.5
20.48825417,20.41564605,20.34278744,20.26960012,20.19597952,35.6
20.48278832,20.41041315,20.33779037,20.26484222,20.1914647,35.7
20.47772939,20.40558915,20.33320422,20.26049725,20.18736487,35.8
20.47148848,20.39957585,20.32742144,20.25494829,20.1820536,35.9
