b=1,b=2,b=3,b=4,b=5,t
15.72836634,15.62616547,20.04429607,20.29213521,20.40553037,36.7
15.69926132,15.58695574,20.00585042,20.25582149,20.37080746,36.8
15.67530377,15.5584665,19.97155118,20.22376482,20.34044589,36.9
15.67426846,15.56196056,19.9498526,20.20396422,20.32220461,37
15.66891845,15.55987683,19.92643379,20.18255874,20.30241935,37.1
15.6618148,15.5541118,19.90135296,20.15940744,20.28082167,37.2
15.65173997,15.54460905,19.87499442,20.13504798,20.25805142,37.3
15.63892743,15.53177829,19.84742914,20.10954679,20.23417304,37.4
15.61231555,15.50351178,19.81488097,20.07956093,20.20609676,37.5
15.57436019,15.46392335,19.77890899,20.04661985,20.17534292,37.6
15.56324567,15.45990045,19.75536757,20.02553767,20.15616829,37.7
15.57746814,15.4875916,19.74554144,20.01764788,20.14993428,37.8
15.60029039,15.52464597,19.74101098,20.01484997,20.14868689,37.9
15.62732868,15.56587392,19.73967131,20.0151606,20.15050693,38
15.65029699,15.60120793,19.73685752,20.01410826,20.1510201,38.1
15.654682,15.61069697,19.72347955,20.00278367,20.14137993,38.2
15.65848934,15.61796431,19.70917058,19.99042691,20.13063451,38.3
15.67504651,15.64154674,19.70215914,19.98507588,20.12674849,38.4
15.68864863,15.65924733,19.69279319,19.97728242,20.12034547,38.5
15.70659232,15.68287551,19.68677489,19.97279314,20.11723446,38.6
15.74237747,15.7303185,19.69298478,19.98028759,20.1260134,38.7
15.75918711,15.75183592,19.68811955,19.9770562,20.1242226,38.8
15.78022172,15.77812104,19.68575133,19.97617785,20.12470273,38.9
15.79784013,15.79812823,19.6807527,19.9725979,20.12241639,39
15.84157692,15.85333298,19.69340836,19.98626293,20.13720293,39.1
15.87434656,15.89296568,19.69934672,19.99337723,20.14550357,39.2
15.89626226,15.91707662,19.6987141,19.99408411,20.1474606,39.3
15.91552658,15.9384744,19.6975953,19.99445029,20.14916363,39.4
15.92833129,15.95077632,19.69274503,19.99118639,20.14727736,39.5
15.95873419,15.98859879,19.69996508,19.99977815,20.15717229,39.6
15.97942118,16.01183109,19.70091419,20.0021928,20.16091183,39.7
15.99686025,16.03086595,19.70043351,20.00326717,20.16335713,39.8
16.01045275,16.04526924,19.69834148,20.00285831,20.16438928,39.9
16.01957439,16.05458575,19.69445705,20.00082409,20.16389021,40
16.04545918,16.08821528,19.70154888,20.00952024,20.17402164,40.1
16.07855195,16.13131586,19.71369385,20.02314834,20.1890291,40.2
16.11984619,16.18321231,19.73055469,20.04119052,20.2082763,40.3
16.18606706,16.26578519,19.76483806,20.07612353,20.24414513,40.4
