a=0.5,a=1.0,a=1.5,a=2.0,t
15.70414383,21.19023664,19.90955129,19.24418533,35.5
15.70816888,21.17298493,19.90959191,19.25983518,35.6
15.71457149,21.15764783,19.91205048,19.27781759,35.7
15.72224809,21.14292547,19.91458623,19.29459301,35.8
15.72886914,21.12746981,19.91542127,19.30800521,35.9
15.72878179,21.10603167,19.90582623,19.30524818,36
15.72583724,21.08193644,19.89143816,19.29500607,36.1
15.71576532,21.0519329,19.86705326,19.26987932,36.2
15.70344727,21.01973063,19.83897443,19.23958078,36.3
15.68697619,20.98405975,19.80526687,19.2014716,36.4
15.67407819,20.95116622,19.77656528,19.17159285,36.5
15.66486144,20.92109989,19.75270758,19.1492695,36.6
15.65367744,20.88938861,19.72617907,19.12318846,36.7
15.63457385,20.85107668,19.68872828,19.08122704,36.8
15.61767419,20.815467,19.65660019,19.04826214,36.9
15.61163355,20.78877088,19.63947716,19.03771504,37
15.60380557,20.76085099,19.62029225,19.02392636,37.1
15.5951748,20.73179253,19.59893381,19.00658712,37.2
15.5852293,20.70179793,19.57605767,18.98700547,37.3
15.57400534,20.67090346,19.55176493,18.96540387,37.4
15.55628513,20.63628263,19.52193901,18.93624272,37.5
15.53284279,20.59899023,19.48850514,18.90260526,37.6
15.52178083,20.57053677,19.46967931,18.89052426,37.7
15.52300152,20.55206314,19.46680497,18.90110722,37.8
15.52886667,20.53764036,19.46984847,18.91920606,37.9
15.53742662,20.52577145,19.47635371,18.94121639,38
15.5449098,20.51306874,19.48088345,18.95930827,38.1
15.544397,20.4929767,19.47264498,18.95772191,38.2
15.54376979,20.47237014,19.46303691,18.9536282,38.3
15.54922798,20.45715137,19.46186364,18.96159409,38.4
15.5536698,20.44046859,19.45754245,18.96414103,38.5
15.56056064,20.4263281,19.45708439,18.97205954,38.6
15.57601204,20.42117859,19.47098516,19.00062669,38.7
15.58387761,20.40831642,19.47150746,19.00848249,38.8
15.59394698,20.39745294,19.47473912,19.01982524,38.9
15.60282146,20.38494603,19.47450365,19.02534503,39
15.62341395,20.38531611,19.49510457,19.06139288,39.1
15.64014698,20.38117829,19.50739002,19.08399707,39.2
15.65288007,20.37258626,19.51159992,19.09386253,39.3
15.66507973,20.36378101,19.51521746,19.10273997,39.4
15.67490191,20.35247927,19.514246,19.10453061,39.5
15.69246447,20.34989348,19.52769267,19.12798992,39.6
15.70643573,20.34310096,19.53335051,19.13904592,39.7
15.71948495,20.33544578,19.53721516,19.14723765,39.8
15.73135093,20.32676687,19.53913089,19.15248246,39.9
15.74174994,20.3169024,19.53894331,19.15469773,40
15.75922628,20.31492884,19.55187307,19.1767002,40.1
15.78003823,20.31678083,19.57063946,19.20683439,40.2
15.80428155,20.32234137,19.59457665,19.24363222,40.3
15.83822957,20.34076168,19.63882527,19.30950205,40.4
15.87429878,20.36219363,19.68680909,19.37927565,40.5
15.90842431,20.38037174,19.72821993,19.43764828,40.6
15.94156736,20.39690884,19.76590608,19.48920379,40.7
15.96968845,20.4062967,19.79064707,19.5201276,40.8
15.99592609,20.41279566,19.80945825,19.54136847,40.9
16.01757938,20.41311789,19.81695986,19.54509097,41
16.03876316,20.41281306,19.82318056,19.54749509,41.1
16.06372091,20.417467,19.83789298,19.56364204,41.2
16.08832783,20.42175702,19.85174614,19.57868462,41.3
16.11467497,20.42828404,19.86904996,19.59907474,41.4
16.14496759,20.44019235,19.89498128,19.63237465,41.5
16.17550555,20.45228926,19.92049041,19.66443668,41.6
16.20321492,20.46020027,19.93823705,19.68425992,41.7
16.23212839,20.46984521,19.95866227,19.70824417,41.8
16.25670188,20.47335417,19.968037,19.71520409,41.9
16.28015529,20.47528139,19.97446912,19.71810954,42
16.29631036,20.46754923,19.96380778,19.69527687,42.1
16.31700522,20.46583494,19.96425845,19.6911998,42.2
16.34140669,20.46935459,19.9740826,19.7022435,42.3
16.36646858,20.47388339,19.98557069,19.7159775,42.4
16.38485962,20.46878783,19.97958398,19.7027173,42.5
16.40831248,20.4707447,19.98625855,19.70977316,42.6
16.43568559,20.47841607,20.00269659,19.73168988,42.7
16.45460847,20.47390688,19.99752461,19.72045633,42.8
16.47725282,20.47488569,20.00241929,19.72555186,42.9
16.49862967,20.47440393,20.00500949,19.72758572,43
16.51444342,20.46656856,19.99490643,19.71078174,43.1
16.5311329,20.45963798,19.98655091,19.6973976,43.2
16.55402995,20.46145154,19.99368104,19.70803501,43.3
16.57805683,20.46493328,20.00351154,19.72249497,43.4
16.60651285,20.47539242,20.02531525,19.75468298,43.5
16.63405029,20.48444137,20.04427611,19.78185746,43.6
16.66319692,20.49595044,20.06691269,19.81377669,43.7
16.6921922,20.50704084,20.08810691,19.84260488,43.8
16.72172442,20.51900031,20.11037612,19.87248093,43.9
16.75302365,20.53389525,20.13724119,19.9086759,44
16.78341984,20.54722456,20.16092459,19.93940565,44.1
16.80260258,20.54281744,20.15292882,19.9212556,44.2
16.8214379,20.53810449,20.14495492,19.9046244,44.3
16.84277906,20.53713777,20.14389154,19.89960381,44.4
16.86301848,20.5346422,20.14040444,19.89159312,44.5
16.88018052,20.52760595,20.12919539,19.87257366,44.6
16.90740852,20.53663272,20.14659657,19.89773719,44.7
16.93605355,20.54787005,20.16713115,19.92666251,44.8
16.97247834,20.57357222,20.21184476,19.9906497,44.9
17.01457644,20.61177329,20.27683831,20.08300621,45
17.05650669,20.64911642,20.33901858,20.16907912,45.1
17.09440055,20.67662395,20.3829781,20.22578834,45.2
17.13326489,20.70606448,20.42922092,20.28471857,45.3
17.17004111,20.73060252,20.46582906,20.32769624,45.4
17.20610456,20.75342917,20.4988586,20.36473018,45.5
17.24143847,20.77457447,20.52846704,20.39629259,45.6
17.2723357,20.78675727,20.54176861,20.40263437,45.7
17.299365,20.7919059,20.54270611,20.39093248,45.8
17.32570849,20.79607887,20.54252116,20.37935198,45.9
17.3443339,20.78741795,20.51992938,20.33490492,46
17.35554536,20.76782801,20.47936274,20.26623096,46.1
17.36007326,20.73954669,20.42581271,20.18240024,46.2
17.3531556,20.69645394,20.34873785,20.06785813,46.3
17.3297978,20.63423836,20.24204983,19.9154905,46.4
17.30956445,20.57671833,20.14891459,19.79125811,46.5
17.29808598,20.53159094,20.08156914,19.71011001,46.6
17.2948814,20.49856937,20.03760242,19.66509536,46.7
17.29633542,20.47305652,20.00792325,19.64112731,46.8
17.30292785,20.45568975,19.99279295,19.6375599,46.9
17.31543657,20.44745941,19.99299017,19.65457453,47
17.32658724,20.43792824,19.99097473,19.66699557,47.1
17.3308063,20.41889212,19.97289689,19.65494103,47.2
17.33450968,20.39980043,19.95510853,19.64288542,47.3
17.3291791,20.36979086,19.91981197,19.60545187,47.4
17.31591801,20.33040144,19.86979358,19.54730055,47.5
17.28953352,20.27638698,19.79706996,19.45791246,47.6
17.24771519,20.20625735,19.70017055,19.33664858,47.7
17.21728118,20.150765,19.6314194,19.2605077,47.8
17.19080813,20.09974626,19.57142464,19.19785006,47.9
17.17411068,20.05985724,19.53015332,19.16171695,48
17.16924385,20.03533966,19.51395749,19.16021593,48.1
17.17002157,20.01730681,19.50676752,19.16891206,48.2
17.17574928,20.00485971,19.50664817,19.18480742,48.3
17.18189992,19.99381436,19.50844444,19.20206914,48.4
17.18846637,19.98410595,19.51200488,19.22054525,48.5
17.19519777,19.97542838,19.51687845,19.2397204,48.6
17.22111869,19.99590069,19.56604335,19.31913595,48.7
17.25585063,20.0323063,19.63793386,19.42738421,48.8
17.29577674,20.07941832,19.72451158,19.55341692,48.9
17.34001024,20.13697795,19.82503944,19.69616329,49
17.38532348,20.19709326,19.92765528,19.83937248,49.1
17.42630829,20.24426613,20.00799357,19.94755391,49.2
